ID,Latitudine,Longitudine,Alloggio,Tipologia,Prezzo,Cibo,Animali ammessi,Stagione rilevante,Souvenir locali,Località
1,45.66591297292027,10.475487956720567,Sì,Villaggio turistico,478,Vegan,Sì,Nessuna informazione,Sì,Nessuna informazione
2,41.049081748389185,16.499976912514544,No,All'aperto,162,Vegan,No,Primavera-estate,No,Primavera-estate
3,42.787386034158885,11.50612050491641,No,All'aperto,301,Vegan,Sì,Primavera-estate,No,Nessuna informazione
4,46.14921037148522,10.523267963112978,No,All'aperto,399,Vegan,No,Primavera-estate,No,Nessuna informazione
5,46.42289313800705,10.738493136160887,No,All'aperto,442,Gluten-free,No,Primavera-estate,No,Nessuna informazione
6,39.2828412339556,16.920916616710986,No,All'aperto,177,Vegan,No,Autunno-inverno,No,Nessuna informazione
7,37.6225167629672,13.822885722220938,No,All'aperto,46,Vegetarian,Sì,Primavera-estate,Sì,Nessuna informazione
8,37.545839533212316,14.629282908082669,Sì,Bed & Breakfast,358,Nessuna informazione,No,Primavera-estate,Sì,Nessuna informazione
9,39.2595028485681,8.712492174644108,No,All'aperto,446,Gluten-free,Sì,Primavera-estate,Sì,Primavera-estate
10,45.12911304412997,9.43285152711683,Sì,Hotel,313,Vegetarian,Sì,Primavera-estate,No,Primavera-estate
11,40.598224783629185,17.707713841014744,Sì,Ostello,308,Gluten-free,No,Primavera-estate,No,Primavera-estate
12,43.047698603969785,11.8682964783766,No,All'aperto,38,Nessuna informazione,Sì,Primavera-estate,No,Nessuna informazione
13,40.52413270118113,15.825591125883797,Sì,Hotel,67,Nessuna informazione,No,Nessuna informazione,No,Autunno-inverno
14,46.06945328018735,11.800821143870909,No,All'aperto,432,Vegetarian,No,Autunno-inverno,Sì,Autunno-inverno
15,45.51545183136055,7.670766557657538,Sì,Villaggio turistico,229,Nessuna informazione,No,Nessuna informazione,Sì,Autunno-inverno
16,45.734811395329636,7.152000678693319,Sì,Villaggio turistico,361,Vegan,Sì,Autunno-inverno,No,Autunno-inverno
17,40.9963474446508,9.125981625201877,Sì,Hotel,475,Nessuna informazione,No,Primavera-estate,Sì,Nessuna informazione
18,45.35572121812335,9.288400301670324,No,All'aperto,123,Nessuna informazione,Sì,Nessuna informazione,No,Autunno-inverno
19,46.732254762466255,10.799154398082898,Sì,Ostello,38,Nessuna informazione,Sì,Nessuna informazione,No,Nessuna informazione
20,43.28939613048321,11.424525907625675,Sì,Villaggio turistico,235,Vegetarian,Sì,Autunno-inverno,Sì,Primavera-estate
21,45.518731283757326,9.476805008940634,No,Visite storico-culturali,454,Gluten-free,No,Autunno-inverno,Sì,Nessuna informazione
22,46.581732096771944,10.884252103449867,No,Gastronomia,285,Vegetarian,No,Autunno-inverno,Sì,Primavera-estate
23,46.0593222128416,8.06250098145918,No,All'aperto,280,Gluten-free,Sì,Primavera-estate,No,Nessuna informazione
24,44.300426938053405,8.055323425006776,No,All'aperto,72,Nessuna informazione,No,Nessuna informazione,Sì,Primavera-estate
