ID,Località preferita,Tipologia di alloggio preferita,Preferenze alimentari,Tipologia di attività preferita,Animali domestici,Budget,Souvenir locali,Stagione preferita
1,Città,Villaggio turistico,Vegetarian,Visite storico-culturali,Sì,Medio,Sì,Primavera-estate
2,Montagna,Villaggio turistico,Gluten-free,All'aperto,No,Basso,Sì,Primavera-estate
3,Montagna,Nessuna preferenza,Vegetarian,Visite storico-culturali,Sì,Alto,No,Nessuna preferenza
4,Nessuna preferenza,Villaggio turistico,Vegan,All'aperto,Sì,Basso,No,Primavera-estate
5,Nessuna preferenza,Nessuna preferenza,Nessuna preferenza,Nessuna preferenza,Sì,Basso,Sì,Primavera-estate
6,Città,Nessuna preferenza,Gluten-free,Nessuna preferenza,Sì,Basso,Sì,Autunno-inverno
7,Mare,Nessuna preferenza,Vegan,Nessuna preferenza,Sì,Medio,No,Autunno-inverno
8,Città,Ostello,Nessuna preferenza,Visite storico-culturali,Sì,Basso,Sì,Primavera-estate
9,Mare,Bed & Breakfast,Gluten-free,Gastronomia,No,Flessibile,Sì,Autunno-inverno
10,Montagna,Nessuna preferenza,Nessuna preferenza,All'aperto,Sì,Basso,No,Nessuna preferenza
11,Nessuna preferenza,Bed & Breakfast,Vegan,Nessuna preferenza,Sì,Medio,Sì,Primavera-estate
12,Città,Ostello,Vegetarian,All'aperto,Sì,Medio,No,Nessuna preferenza
13,Nessuna preferenza,Villaggio turistico,Gluten-free,All'aperto,Sì,Basso,Sì,Autunno-inverno
14,Montagna,Bed & Breakfast,Vegan,Nessuna preferenza,No,Alto,Sì,Autunno-inverno
15,Nessuna preferenza,Nessuna preferenza,Vegan,All'aperto,No,Flessibile,No,Autunno-inverno
16,Città,Ostello,Vegetarian,Gastronomia,No,Alto,Sì,Primavera-estate
17,Nessuna preferenza,Ostello,Vegan,Nessuna preferenza,No,Medio,No,Nessuna preferenza
18,Mare,Nessuna preferenza,Vegan,Gastronomia,Sì,Flessibile,No,Primavera-estate
19,Città,Villaggio turistico,Vegetarian,All'aperto,Sì,Flessibile,No,Primavera-estate
20,Montagna,Bed & Breakfast,Nessuna preferenza,Visite storico-culturali,No,Flessibile,Sì,Nessuna preferenza
21,Mare,Hotel,Nessuna preferenza,Nessuna preferenza,No,Alto,Sì,Primavera-estate
22,Montagna,Villaggio turistico,Vegan,Gastronomia,Sì,Basso,No,Nessuna preferenza
23,Nessuna preferenza,Villaggio turistico,Nessuna preferenza,Nessuna preferenza,No,Flessibile,Sì,Primavera-estate
24,Mare,Villaggio turistico,Gluten-free,Nessuna preferenza,Sì,Flessibile,Sì,Primavera-estate
25,Nessuna preferenza,Villaggio turistico,Vegetarian,Visite storico-culturali,Sì,Medio,No,Primavera-estate
26,Montagna,Bed & Breakfast,Vegetarian,Visite storico-culturali,Sì,Basso,No,Autunno-inverno
27,Nessuna preferenza,Bed & Breakfast,Vegetarian,All'aperto,Sì,Medio,Sì,Nessuna preferenza
28,Mare,Villaggio turistico,Nessuna preferenza,Nessuna preferenza,No,Medio,No,Primavera-estate
29,Montagna,Ostello,Gluten-free,Visite storico-culturali,No,Flessibile,No,Autunno-inverno
30,Nessuna preferenza,Nessuna preferenza,Gluten-free,Visite storico-culturali,Sì,Flessibile,No,Nessuna preferenza
31,Mare,Ostello,Gluten-free,Nessuna preferenza,Sì,Basso,Sì,Nessuna preferenza
32,Città,Hotel,Gluten-free,Gastronomia,Sì,Basso,No,Autunno-inverno
33,Montagna,Nessuna preferenza,Vegan,Gastronomia,No,Basso,Sì,Autunno-inverno
34,Nessuna preferenza,Hotel,Vegan,Nessuna preferenza,No,Alto,No,Autunno-inverno
35,Montagna,Villaggio turistico,Gluten-free,All'aperto,Sì,Basso,Sì,Primavera-estate
36,Città,Bed & Breakfast,Vegetarian,Visite storico-culturali,No,Alto,No,Nessuna preferenza
37,Mare,Hotel,Vegan,Nessuna preferenza,Sì,Alto,No,Nessuna preferenza
38,Città,Villaggio turistico,Nessuna preferenza,Visite storico-culturali,Sì,Flessibile,Sì,Autunno-inverno
39,Montagna,Bed & Breakfast,Gluten-free,All'aperto,Sì,Flessibile,Sì,Nessuna preferenza
40,Mare,Hotel,Vegan,Nessuna preferenza,Sì,Alto,No,Primavera-estate
41,Nessuna preferenza,Bed & Breakfast,Gluten-free,Nessuna preferenza,Sì,Flessibile,No,Primavera-estate
